id,name
33344,Ōkiore Point / Rugged Point
33352,Okitū
33357,Ōkiwi Bay
33356,Ōkiwi Bay
33355,Ōkiwi Bay
33362,Ōkoha Saddle
33403,Ōkōura Stream
33408,Ōkukari Bay
33415,Ōkūkū River
33419,Ōkupe Lagoon
4158,Ōkura
14666,Ōkura Rock
54996,Ōmaha Forest
54570,Ōmāhuri
55063,Ōmahuta Forest
55538,Ōmakere Ridge
14219,Ōmakere Trough
58082,Ōmangaia Pā
33545,Ōmanu Creek
58772,Ōmanui
33547,Ōmanuporoaki Stream
33550,Ōmāpere
33552,Ōmāpere Stream
33561,Ōmarama
33576,Ōmarukohaki Stream
7390,Ōmarupoto Bay
33581,Ōmarutipi
55065,Ōmataroa Forest
4191,Ōmāui Island
58875,Ōmawete / Coopers Knob
58807,Ōmāwhero
57145,Ōmiha
57299,Ōmihi
33630,Ōmoeroa River
33636,Ōmōkau Bay
33640,Ōmokoroa
33641,Ōmokoroa Beach
33642,Ōmokoroa Point
33649,Ōmotumotu Creek
33659,Ōnahau
33660,Ōnahau Bay
54713,Ōnahau River
33666,Ōnauku Bay
59774,Onetāhua Rise
33772,Ōngāwanga Creek
33773,Ōngaware Stream
33774,Ōngāwari
33780,Ōnoke
14669,Ōnoke Bank
57300,Ōnuku
33792,Ōpaheke
33791,Ōpaheke
4219,Ōpaheke Point
33805,Ōpaki
7214,Ōpango Stream
33818,Ōpani-āputa Point
54609,Ōpaoa River
56440,Ōparapara / Samson Bay
33827,Ōpārara
33828,Ōpārara River
33829,Ōpārau
33830,Ōpārau River
33841,Ōpau Bay
33843,Ōpau Stream
58646,Ōpēhia
58620,Ōpēhia
55593,Ōpeketā Stream
55596,Ōpeketā Swamp
33871,Ōpihi Bay
33872,Ōpihi River
58796,Ōpihu
33894,Ōpoho Creek
58338,Ōpōkihi
33900,Ōpokongaruru Stream
33912,Ōpōtiki
33913,Ōpōtiki
33914,Ōpōtiki Bay
59009,Ōpōtiki District
33915,Ōpōtiki Stream
54714,Ōpou
14672,Ōpouawe Bank
14673,Ōpouawe Canyon
33924,Ōpouawe River
33920,Ōpou Point
33929,Ōpōuri Peak
33931,Ōpōuri River
33932,Ōpōuri Saddle
33943,Ōpouwehe
33947,Ōpua Bay
54968,Ōpua Forest
33967,Ōpuku Cliff
58339,Ōpukutahi
33971,Ōpunake
33972,Ōpunake Stream
33980,Ōpūrehu River
33993,Ōraka Stream
34003,Ōraki
34005,Ōrakipaoa Creek
7208,Ōrangipuku River
7544,Ōrangipuku River Scenic Reserve
14674,Ōrapa Rock
34036,Ōrarapa Island / The Haystack
34040,Ōrataura Stream
54587,Ōraumoa / Fighting Bay
58630,Ōrautahi
34070,Orepū Creek
34073,Ōrere
34074,Ōrere Point
34075,Ōrere Point / Rangipākihi
34076,Ōrere River
34077,Ōrere Stream
34078,Ōrereti Stream
34081,Ōreteiti Bay
14675,Ōreti Bank
4253,Ōreti River
34087,Ōrewa Beach
34088,Ōrewa Hill
34089,Ōrewa River
34090,Ōrewha
58834,Ōrokiroki
58729,Ōroko
34136,Ōrongo
58876,Ōrongomai / Cass Peak
34143,Ōrongorongo
34144,Ōrongorongo River
55735,Ōrongotea Stream
58715,Ōroroa
34178,Ōruahea Stream
58825,Ōruahine
34186,Ōruakarahea Stream
34199,Ōruapūkaikena Creek
4274,Ōruariki Stream
7392,Ōruaroa Bay
7393,Ōruaroa Point
34176,Ōrua Stream
34205,Ōruatāmaru Stream
58596,Ōtaetae
55577,Ōtahatekapua
55578,Ōtahatekapua Kāinga
54794,Ōtahuao
54969,Ōtahu Bush
34261,Ōtāhuhu
34262,Ōtāhuhu Creek
54543,Ōtāhuhu / Mount Richmond
34263,Ōtāhuhu Point
54906,Ōtaiātoa Bay
55459,Ōtaiātoa Bay Recreation Reserve
55211,Ōtaipango / Henderson Bay
7394,Ōtairoa Beach
34291,Ōtakahia Stream
34305,Ōtaki
34304,Ōtaki
34306,Ōtaki Beach
34307,Ōtaki Creek
34308,Ōtaki Forks
58710,Ōtākirikiri
34309,Ōtaki River
34325,Ōtamahama Stream
4287,Ōtamahua / Quail Island
55571,Ōtamakotinga
8892,Ō Tamakura Historic Reserve
58727,Ōtamakurua
4288,Ōtamarau
58800,Ōtamatea
34368,Ōtāne
58600,Ōtāneāniwa
34372,Ōtānerau Bay
54406,Ōtānerua / Hatfields Beach
54970,Ōtangaroa Forest
7395,Ōtangimoana Bay
57779,Ō Tāpara
34408,Ōtapokura
34414,Ōtara
34417,Ōtara
34416,Ōtara
58669,Ōtara
57637,Ō Tara
34418,Ōtara Bay
34419,Ōtara Bay
34420,Ōtara Creek
34421,Ōtara Head
14220,Ōtara Knoll
7397,Ōtaramarae Bay
34423,Ōtara Point
34424,Ōtara Point
34425,Ōtara Point
34422,Ōtara Point
34443,Ōtarapō Stream
34426,Ōtara River
34427,Ōtara Stream
34431,Ōtara Stream
34432,Ōtara Stream
34429,Ōtara Stream
34430,Ōtara Stream
34447,Ōtarawao Bay
34462,Ōtaua
34464,Ōtaua River
34465,Ōtaua Stream
54578,Otauira Pā
58801,Ōtaupiri
34479,Ōtautau Stream
7398,Ōtautū Bay
34488,Ōtāwaiwai Stream
34489,Ōtawakepaka Stream
34496,Ōtāwhau Stream
58718,Ōteauau
34513,Ōtehe / Crayfish Point
57949,Ō Te Heke
58851,Ōtehika
58621,Ōtehoko
58783,Ō-te-horua-a-Te-Puhituia
55588,Ōtemataraha Lake
55688,Ōtemataraha Wetland
57980,Ō te matua
58803,Ōteraia
34544,Ōterāwhanga
34547,Ōterei
34548,Ōterei River
54715,Ōtere River
58739,Ōterokonui
58485,Ōtewā
54716,Ōtimataura Creek
34568,Ōtira River
4316,Ōtokitoki / Gollans Bay
34590,Ōtoko River
58379,Ōtokotoko
34597,Ōtonga Point
34603,Ōtōpōtehetehe Lake
58486,Ōtorohanga
58071,Ōtorohanga District
34615,Ōtoto Stream
58625,Ōtū
34637,Ōtuauri
34627,Otū Bay
58343,Ōtūherekio
34648,Ōtūhira Stream
54895,Ōtūmahana
55719,Otūmaikuku
7399,Ōtūmarokura Bay
7400,Ōtūmarokura Point
54892,Otūmoetai
54644,Otūmoetai Beach
54893,Otūmoetai Channel
54894,Otūmoetai Pā
56652,Otūmūtū
34690,Ōtūpōhatu
58813,Ōtūpuahiri
4327,Ōturaki Creek
58380,Ōtūtohukai
55066,Ōtutu Bush
55462,Otūwairoa Stream
34731,Otūwhero Inlet
34732,Otūwhero River
54495,Ōueariu
34745,Ōuewheki
58806,Ōuruwera
58755,Ōuruwera
54556,Ōwairaka
34790,Ōwaka River
34799,Ōweka Stream
34816,Ōwhakarotu Stream
34824,Ōwhango
34831,Ōwhata
34832,Ōwhata
4346,Ōwhata
34834,Ōwhata Stream
7401,Ōwhatiura Bay
34846,Ōwhiro
34848,Ōwhiro Bay
4349,Ōwhiro Bay
34849,Ōwhiro Stream
34850,Ōwhiro Stream
34851,Ōwhiro Stream
59763,Paekākā
58814,Paekākāpō
34906,Paekākāriki
54455,Paekākāriki Hill
54399,Paekākāriki Hill
55212,Paengarēhia / Twilight Beach
7540,Paepae-o-Tū / Bream Tail
34962,Pāhakorea Point
4378,Pāhaoa
55539,Pāhaoa Canyon
4379,Pāhaoa River
34971,Pāharakeke Stream
4381,Pāhātea / Durden Hill
59405,Pā Hill
34874,Pā Hill Stream
55067,Pāhoka Bush
35019,Paikākaho
54912,Pākā Bay
59764,Pākaraka
35066,Pākawau
35067,Pākawau Creek
35068,Pākawau Inlet
58344,Pākererū
10579,Pākira Nunatak
35126,Pākōwhai Stream
35125,Pākōwhai Stream
59765,Pākuku Stream
35133,Pākuratahi
35134,Pākuratahi Forks
35135,Pākuratahi River
54509,Pākuratahi Stream
35191,Pangatōtara
14689,Pānia Reef
14690,Pānia Rock
58648,Pānui-o-Hau
35247,Papakōhatu Island / Crusoe Island
4422,Papakōwhai
58654,Papatīeke
35345,Papatōrea
